Segment,Country,Product,Discount Band, Units Sold , Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales ,COGS,Profit,Date,Month Number,Month Name,Year
Channel Partners,France,VTT,Medium," $1,738.50 ", $250.00 , $12.00 ," $20,862.00 "," $1,460.34 "," $19,401.66 ",5215.5,14186.16,4/1/2014,4,April,2014
Channel Partners,Germany,VTT,Medium," $2,215.00 ", $250.00 , $12.00 ," $26,580.00 "," $1,860.60 "," $24,719.40 ",6645,18074.4,9/1/2013,9,September,2013
Government,Canada,VTT,Medium," $1,582.00 ", $250.00 , $7.00 ," $11,074.00 ", $775.18 ," $10,298.82 ",7910,2388.82,12/1/2014,12,December,2014
Government,Canada,Amarilla,Medium," $1,135.00 ", $260.00 , $7.00 ," $7,945.00 ", $556.15 ," $7,388.85 ",5675,1713.85,6/1/2014,6,June,2014
Government,United States of America,Carretera,Medium," $1,761.00 ", $3.00 , $350.00 ," $616,350.00 "," $43,144.50 "," $573,205.50 ",457860,115345.5,3/1/2014,3,March,2014
Small Business,France,Carretera,Medium, $448.00 , $3.00 , $300.00 ," $134,400.00 "," $9,408.00 "," $124,992.00 ",112000,12992,6/1/2014,6,June,2014
Small Business,France,Carretera,Medium," $2,181.00 ", $3.00 , $300.00 ," $654,300.00 "," $45,801.00 "," $608,499.00 ",545250,63249,10/1/2014,10,October,2014
Government,France,Montana,Medium," $1,976.00 ", $5.00 , $20.00 ," $39,520.00 "," $2,766.40 "," $36,753.60 ",19760,16993.6,10/1/2014,10,October,2014
Small Business,France,Montana,Medium," $2,181.00 ", $5.00 , $300.00 ," $654,300.00 "," $45,801.00 "," $608,499.00 ",545250,63249,10/1/2014,10,October,2014
Enterprise,Germany,Montana,Medium," $2,500.00 ", $5.00 , $125.00 ," $312,500.00 "," $21,875.00 "," $290,625.00 ",300000,-9375,11/1/2013,11,November,2013
Small Business,Canada,Paseo,Medium," $1,702.00 ", $10.00 , $300.00 ," $510,600.00 "," $35,742.00 "," $474,858.00 ",425500,49358,5/1/2014,5,May,2014
Small Business,France,Paseo,Medium, $448.00 , $10.00 , $300.00 ," $134,400.00 "," $9,408.00 "," $124,992.00 ",112000,12992,6/1/2014,6,June,2014
Enterprise,Germany,Paseo,Medium," $3,513.00 ", $10.00 , $125.00 ," $439,125.00 "," $30,738.75 "," $408,386.25 ",421560,-13173.75,7/1/2014,7,July,2014
Midmarket,France,Paseo,Medium," $2,101.00 ", $10.00 , $15.00 ," $31,515.00 "," $2,206.05 "," $29,308.95 ",21010,8298.95,8/1/2014,8,August,2014
Midmarket,United States of America,Paseo,Medium," $2,931.00 ", $10.00 , $15.00 ," $43,965.00 "," $3,077.55 "," $40,887.45 ",29310,11577.45,9/1/2013,9,September,2013
Government,France,Paseo,Medium," $1,535.00 ", $10.00 , $20.00 ," $30,700.00 "," $2,149.00 "," $28,551.00 ",15350,13201,9/1/2014,9,September,2014
Small Business,Germany,Paseo,Medium," $1,123.00 ", $10.00 , $300.00 ," $336,900.00 "," $23,583.00 "," $313,317.00 ",280750,32567,9/1/2013,9,September,2013
Small Business,Canada,Paseo,Medium," $1,404.00 ", $10.00 , $300.00 ," $421,200.00 "," $29,484.00 "," $391,716.00 ",351000,40716,11/1/2013,11,November,2013
Channel Partners,Mexico,Paseo,Medium," $2,763.00 ", $10.00 , $12.00 ," $33,156.00 "," $2,320.92 "," $30,835.08 ",8289,22546.08,11/1/2013,11,November,2013
Government,Germany,Paseo,Medium," $2,125.00 ", $10.00 , $7.00 ," $14,875.00 "," $1,041.25 "," $13,833.75 ",10625,3208.75,12/1/2013,12,December,2013
Small Business,France,Velo,Medium," $1,659.00 ", $120.00 , $300.00 ," $497,700.00 "," $34,839.00 "," $462,861.00 ",414750,48111,7/1/2014,7,July,2014
Government,Mexico,Velo,Medium, $609.00 , $120.00 , $20.00 ," $12,180.00 ", $852.60 ," $11,327.40 ",6090,5237.4,8/1/2014,8,August,2014
Enterprise,Germany,Velo,Medium," $2,087.00 ", $120.00 , $125.00 ," $260,875.00 "," $18,261.25 "," $242,613.75 ",250440,-7826.25,9/1/2014,9,September,2014
Government,France,Velo,Medium," $1,976.00 ", $120.00 , $20.00 ," $39,520.00 "," $2,766.40 "," $36,753.60 ",19760,16993.6,10/1/2014,10,October,2014
Government,United States of America,Velo,Medium," $1,421.00 ", $120.00 , $20.00 ," $28,420.00 "," $1,989.40 "," $26,430.60 ",14210,12220.6,12/1/2013,12,December,2013
Small Business,United States of America,Velo,Medium," $1,372.00 ", $120.00 , $300.00 ," $411,600.00 "," $28,812.00 "," $382,788.00 ",343000,39788,12/1/2014,12,December,2014
Government,Germany,Velo,Medium, $588.00 , $120.00 , $20.00 ," $11,760.00 ", $823.20 ," $10,936.80 ",5880,5056.8,12/1/2013,12,December,2013
Channel Partners,Canada,VTT,Medium," $3,244.50 ", $250.00 , $12.00 ," $38,934.00 "," $2,725.38 "," $36,208.62 ",9733.5,26475.12,1/1/2014,1,January,2014
Small Business,France,VTT,Medium, $959.00 , $250.00 , $300.00 ," $287,700.00 "," $20,139.00 "," $267,561.00 ",239750,27811,2/1/2014,2,February,2014
Small Business,Mexico,VTT,Medium," $2,747.00 ", $250.00 , $300.00 ," $824,100.00 "," $57,687.00 "," $766,413.00 ",686750,79663,2/1/2014,2,February,2014
Enterprise,Canada,Amarilla,Medium," $1,645.00 ", $260.00 , $125.00 ," $205,625.00 "," $14,393.75 "," $191,231.25 ",197400,-6168.75,5/1/2014,5,May,2014
Government,France,Amarilla,Medium," $2,876.00 ", $260.00 , $350.00 ," $1,006,600.00 "," $70,462.00 "," $936,138.00 ",747760,188378,9/1/2014,9,September,2014
Enterprise,Germany,Amarilla,Medium, $994.00 , $260.00 , $125.00 ," $124,250.00 "," $8,697.50 "," $115,552.50 ",119280,-3727.5,9/1/2013,9,September,2013
Government,Canada,Amarilla,Medium," $1,118.00 ", $260.00 , $20.00 ," $22,360.00 "," $1,565.20 "," $20,794.80 ",11180,9614.8,11/1/2014,11,November,2014
Small Business,United States of America,Amarilla,Medium," $1,372.00 ", $260.00 , $300.00 ," $411,600.00 "," $28,812.00 "," $382,788.00 ",343000,39788,12/1/2014,12,December,2014
Government,Canada,Montana,Medium, $488.00 , $5.00 , $7.00 ," $3,416.00 ", $273.28 ," $3,142.72 ",2440,702.72,2/1/2014,2,February,2014
Government,United States of America,Montana,Medium," $1,282.00 ", $5.00 , $20.00 ," $25,640.00 "," $2,051.20 "," $23,588.80 ",12820,10768.8,6/1/2014,6,June,2014
Government,Canada,Paseo,Medium, $257.00 , $10.00 , $7.00 ," $1,799.00 ", $143.92 ," $1,655.08 ",1285,370.08,5/1/2014,5,May,2014
Government,United States of America,Amarilla,Medium," $1,282.00 ", $260.00 , $20.00 ," $25,640.00 "," $2,051.20 "," $23,588.80 ",12820,10768.8,6/1/2014,6,June,2014
Enterprise,Mexico,Carretera,Medium," $1,540.00 ", $3.00 , $125.00 ," $192,500.00 "," $15,400.00 "," $177,100.00 ",184800,-7700,8/1/2014,8,August,2014
Midmarket,France,Carretera,Medium, $490.00 , $3.00 , $15.00 ," $7,350.00 ", $588.00 ," $6,762.00 ",4900,1862,11/1/2014,11,November,2014
Government,Mexico,Carretera,Medium," $1,362.00 ", $3.00 , $350.00 ," $476,700.00 "," $38,136.00 "," $438,564.00 ",354120,84444,12/1/2014,12,December,2014
Midmarket,France,Montana,Medium," $2,501.00 ", $5.00 , $15.00 ," $37,515.00 "," $3,001.20 "," $34,513.80 ",25010,9503.8,3/1/2014,3,March,2014
Government,Canada,Montana,Medium, $708.00 , $5.00 , $20.00 ," $14,160.00 "," $1,132.80 "," $13,027.20 ",7080,5947.2,6/1/2014,6,June,2014
Government,Germany,Montana,Medium, $645.00 , $5.00 , $20.00 ," $12,900.00 "," $1,032.00 "," $11,868.00 ",6450,5418,7/1/2014,7,July,2014
Small Business,France,Montana,Medium," $1,562.00 ", $5.00 , $300.00 ," $468,600.00 "," $37,488.00 "," $431,112.00 ",390500,40612,8/1/2014,8,August,2014
Small Business,Canada,Montana,Medium," $1,283.00 ", $5.00 , $300.00 ," $384,900.00 "," $30,792.00 "," $354,108.00 ",320750,33358,9/1/2013,9,September,2013
Midmarket,Germany,Montana,Medium, $711.00 , $5.00 , $15.00 ," $10,665.00 ", $853.20 ," $9,811.80 ",7110,2701.8,12/1/2014,12,December,2014
Enterprise,Mexico,Paseo,Medium," $1,114.00 ", $10.00 , $125.00 ," $139,250.00 "," $11,140.00 "," $128,110.00 ",133680,-5570,3/1/2014,3,March,2014
Government,Germany,Paseo,Medium," $1,259.00 ", $10.00 , $7.00 ," $8,813.00 ", $705.04 ," $8,107.96 ",6295,1812.96,4/1/2014,4,April,2014
Government,Germany,Paseo,Medium," $1,095.00 ", $10.00 , $7.00 ," $7,665.00 ", $613.20 ," $7,051.80 ",5475,1576.8,5/1/2014,5,May,2014
Government,Germany,Paseo,Medium," $1,366.00 ", $10.00 , $20.00 ," $27,320.00 "," $2,185.60 "," $25,134.40 ",13660,11474.4,6/1/2014,6,June,2014
Small Business,Mexico,Paseo,Medium," $2,460.00 ", $10.00 , $300.00 ," $738,000.00 "," $59,040.00 "," $678,960.00 ",615000,63960,6/1/2014,6,June,2014
Government,United States of America,Paseo,Medium, $678.00 , $10.00 , $7.00 ," $4,746.00 ", $379.68 ," $4,366.32 ",3390,976.32,8/1/2014,8,August,2014
Government,Germany,Paseo,Medium," $1,598.00 ", $10.00 , $7.00 ," $11,186.00 ", $894.88 ," $10,291.12 ",7990,2301.12,8/1/2014,8,August,2014
Government,Germany,Paseo,Medium," $2,409.00 ", $10.00 , $7.00 ," $16,863.00 "," $1,349.04 "," $15,513.96 ",12045,3468.96,9/1/2013,9,September,2013
Government,Germany,Paseo,Medium," $1,934.00 ", $10.00 , $20.00 ," $38,680.00 "," $3,094.40 "," $35,585.60 ",19340,16245.6,9/1/2014,9,September,2014
Government,Mexico,Paseo,Medium," $2,993.00 ", $10.00 , $20.00 ," $59,860.00 "," $4,788.80 "," $55,071.20 ",29930,25141.2,9/1/2014,9,September,2014
Government,Germany,Paseo,Medium," $2,146.00 ", $10.00 , $350.00 ," $751,100.00 "," $60,088.00 "," $691,012.00 ",557960,133052,11/1/2013,11,November,2013
Government,Mexico,Paseo,Medium," $1,946.00 ", $10.00 , $7.00 ," $13,622.00 "," $1,089.76 "," $12,532.24 ",9730,2802.24,12/1/2013,12,December,2013
Government,Mexico,Paseo,Medium," $1,362.00 ", $10.00 , $350.00 ," $476,700.00 "," $38,136.00 "," $438,564.00 ",354120,84444,12/1/2014,12,December,2014
Channel Partners,Canada,Velo,Medium, $598.00 , $120.00 , $12.00 ," $7,176.00 ", $574.08 ," $6,601.92 ",1794,4807.92,3/1/2014,3,March,2014
Government,United States of America,Velo,Medium," $2,907.00 ", $120.00 , $7.00 ," $20,349.00 "," $1,627.92 "," $18,721.08 ",14535,4186.08,6/1/2014,6,June,2014
Government,Germany,Velo,Medium," $2,338.00 ", $120.00 , $7.00 ," $16,366.00 "," $1,309.28 "," $15,056.72 ",11690,3366.72,6/1/2014,6,June,2014
Small Business,France,Velo,Medium, $386.00 , $120.00 , $300.00 ," $115,800.00 "," $9,264.00 "," $106,536.00 ",96500,10036,11/1/2013,11,November,2013
Small Business,Mexico,Velo,Medium, $635.00 , $120.00 , $300.00 ," $190,500.00 "," $15,240.00 "," $175,260.00 ",158750,16510,12/1/2014,12,December,2014
Government,France,VTT,Medium, $574.50 , $250.00 , $350.00 ," $201,075.00 "," $16,086.00 "," $184,989.00 ",149370,35619,4/1/2014,4,April,2014
Government,Germany,VTT,Medium," $2,338.00 ", $250.00 , $7.00 ," $16,366.00 "," $1,309.28 "," $15,056.72 ",11690,3366.72,6/1/2014,6,June,2014
Government,France,VTT,Medium, $381.00 , $250.00 , $350.00 ," $133,350.00 "," $10,668.00 "," $122,682.00 ",99060,23622,8/1/2014,8,August,2014
Government,Germany,VTT,Medium, $422.00 , $250.00 , $350.00 ," $147,700.00 "," $11,816.00 "," $135,884.00 ",109720,26164,8/1/2014,8,August,2014
Small Business,Canada,VTT,Medium," $2,134.00 ", $250.00 , $300.00 ," $640,200.00 "," $51,216.00 "," $588,984.00 ",533500,55484,9/1/2014,9,September,2014
Small Business,United States of America,VTT,Medium, $808.00 , $250.00 , $300.00 ," $242,400.00 "," $19,392.00 "," $223,008.00 ",202000,21008,12/1/2013,12,December,2013
Government,Canada,Amarilla,Medium, $708.00 , $260.00 , $20.00 ," $14,160.00 "," $1,132.80 "," $13,027.20 ",7080,5947.2,6/1/2014,6,June,2014
Government,United States of America,Amarilla,Medium," $2,907.00 ", $260.00 , $7.00 ," $20,349.00 "," $1,627.92 "," $18,721.08 ",14535,4186.08,6/1/2014,6,June,2014
Government,Germany,Amarilla,Medium," $1,366.00 ", $260.00 , $20.00 ," $27,320.00 "," $2,185.60 "," $25,134.40 ",13660,11474.4,6/1/2014,6,June,2014
Small Business,Mexico,Amarilla,Medium," $2,460.00 ", $260.00 , $300.00 ," $738,000.00 "," $59,040.00 "," $678,960.00 ",615000,63960,6/1/2014,6,June,2014
Government,Germany,Amarilla,Medium," $1,520.00 ", $260.00 , $20.00 ," $30,400.00 "," $2,432.00 "," $27,968.00 ",15200,12768,11/1/2014,11,November,2014
Midmarket,Germany,Amarilla,Medium, $711.00 , $260.00 , $15.00 ," $10,665.00 ", $853.20 ," $9,811.80 ",7110,2701.8,12/1/2014,12,December,2014
Channel Partners,Mexico,Amarilla,Medium," $1,375.00 ", $260.00 , $12.00 ," $16,500.00 "," $1,320.00 "," $15,180.00 ",4125,11055,12/1/2013,12,December,2013
Small Business,Mexico,Amarilla,Medium, $635.00 , $260.00 , $300.00 ," $190,500.00 "," $15,240.00 "," $175,260.00 ",158750,16510,12/1/2014,12,December,2014
Government,United States of America,VTT,Medium, $436.50 , $250.00 , $20.00 ," $8,730.00 ", $698.40 ," $8,031.60 ",4365,3666.6,7/1/2014,7,July,2014
Small Business,Canada,Carretera,Medium," $1,094.00 ", $3.00 , $300.00 ," $328,200.00 "," $29,538.00 "," $298,662.00 ",273500,25162,6/1/2014,6,June,2014
Channel Partners,Mexico,Carretera,Medium, $367.00 , $3.00 , $12.00 ," $4,404.00 ", $396.36 ," $4,007.64 ",1101,2906.64,10/1/2013,10,October,2013
Small Business,Canada,Montana,Medium," $3,802.50 ", $5.00 , $300.00 ," $1,140,750.00 "," $102,667.50 "," $1,038,082.50 ",950625,87457.5,4/1/2014,4,April,2014
Government,France,Montana,Medium," $1,666.00 ", $5.00 , $350.00 ," $583,100.00 "," $52,479.00 "," $530,621.00 ",433160,97461,5/1/2014,5,May,2014
Small Business,France,Montana,Medium, $322.00 , $5.00 , $300.00 ," $96,600.00 "," $8,694.00 "," $87,906.00 ",80500,7406,9/1/2013,9,September,2013
Channel Partners,Canada,Montana,Medium," $2,321.00 ", $5.00 , $12.00 ," $27,852.00 "," $2,506.68 "," $25,345.32 ",6963,18382.32,11/1/2014,11,November,2014
Enterprise,France,Montana,Medium," $1,857.00 ", $5.00 , $125.00 ," $232,125.00 "," $20,891.25 "," $211,233.75 ",222840,-11606.25,11/1/2013,11,November,2013
Government,Canada,Montana,Medium," $1,611.00 ", $5.00 , $7.00 ," $11,277.00 "," $1,014.93 "," $10,262.07 ",8055,2207.07,12/1/2013,12,December,2013
Enterprise,United States of America,Montana,Medium," $2,797.00 ", $5.00 , $125.00 ," $349,625.00 "," $31,466.25 "," $318,158.75 ",335640,-17481.25,12/1/2014,12,December,2014
Small Business,Germany,Montana,Medium, $334.00 , $5.00 , $300.00 ," $100,200.00 "," $9,018.00 "," $91,182.00 ",83500,7682,12/1/2013,12,December,2013
Small Business,Mexico,Paseo,Medium," $2,565.00 ", $10.00 , $300.00 ," $769,500.00 "," $69,255.00 "," $700,245.00 ",641250,58995,1/1/2014,1,January,2014
Government,Mexico,Paseo,Medium," $2,417.00 ", $10.00 , $350.00 ," $845,950.00 "," $76,135.50 "," $769,814.50 ",628420,141394.5,1/1/2014,1,January,2014
Midmarket,United States of America,Paseo,Medium," $3,675.00 ", $10.00 , $15.00 ," $55,125.00 "," $4,961.25 "," $50,163.75 ",36750,13413.75,4/1/2014,4,April,2014
Small Business,Canada,Paseo,Medium," $1,094.00 ", $10.00 , $300.00 ," $328,200.00 "," $29,538.00 "," $298,662.00 ",273500,25162,6/1/2014,6,June,2014
Midmarket,France,Paseo,Medium," $1,227.00 ", $10.00 , $15.00 ," $18,405.00 "," $1,656.45 "," $16,748.55 ",12270,4478.55,10/1/2014,10,October,2014
Channel Partners,Mexico,Paseo,Medium, $367.00 , $10.00 , $12.00 ," $4,404.00 ", $396.36 ," $4,007.64 ",1101,2906.64,10/1/2013,10,October,2013
Small Business,France,Paseo,Medium," $1,324.00 ", $10.00 , $300.00 ," $397,200.00 "," $35,748.00 "," $361,452.00 ",331000,30452,11/1/2014,11,November,2014
Channel Partners,Germany,Paseo,Medium," $1,775.00 ", $10.00 , $12.00 ," $21,300.00 "," $1,917.00 "," $19,383.00 ",5325,14058,11/1/2013,11,November,2013
Enterprise,United States of America,Paseo,Medium," $2,797.00 ", $10.00 , $125.00 ," $349,625.00 "," $31,466.25 "," $318,158.75 ",335640,-17481.25,12/1/2014,12,December,2014
Midmarket,Mexico,Velo,Medium, $245.00 , $120.00 , $15.00 ," $3,675.00 ", $330.75 ," $3,344.25 ",2450,894.25,5/1/2014,5,May,2014
Small Business,Canada,Velo,Medium," $3,793.50 ", $120.00 , $300.00 ," $1,138,050.00 "," $102,424.50 "," $1,035,625.50 ",948375,87250.5,7/1/2014,7,July,2014
Government,Germany,Velo,Medium," $1,307.00 ", $120.00 , $350.00 ," $457,450.00 "," $41,170.50 "," $416,279.50 ",339820,76459.5,7/1/2014,7,July,2014
Enterprise,Canada,Velo,Medium, $567.00 , $120.00 , $125.00 ," $70,875.00 "," $6,378.75 "," $64,496.25 ",68040,-3543.75,9/1/2014,9,September,2014
Enterprise,Mexico,Velo,Medium," $2,110.00 ", $120.00 , $125.00 ," $263,750.00 "," $23,737.50 "," $240,012.50 ",253200,-13187.5,9/1/2014,9,September,2014
Government,Canada,Velo,Medium," $1,269.00 ", $120.00 , $350.00 ," $444,150.00 "," $39,973.50 "," $404,176.50 ",329940,74236.5,10/1/2014,10,October,2014
Channel Partners,United States of America,VTT,Medium," $1,956.00 ", $250.00 , $12.00 ," $23,472.00 "," $2,112.48 "," $21,359.52 ",5868,15491.52,1/1/2014,1,January,2014
Small Business,Germany,VTT,Medium," $2,659.00 ", $250.00 , $300.00 ," $797,700.00 "," $71,793.00 "," $725,907.00 ",664750,61157,2/1/2014,2,February,2014
Government,United States of America,VTT,Medium," $1,351.50 ", $250.00 , $350.00 ," $473,025.00 "," $42,572.25 "," $430,452.75 ",351390,79062.75,4/1/2014,4,April,2014
Channel Partners,Germany,VTT,Medium, $880.00 , $250.00 , $12.00 ," $10,560.00 ", $950.40 ," $9,609.60 ",2640,6969.6,5/1/2014,5,May,2014
Small Business,United States of America,VTT,Medium," $1,867.00 ", $250.00 , $300.00 ," $560,100.00 "," $50,409.00 "," $509,691.00 ",466750,42941,9/1/2014,9,September,2014
Channel Partners,France,VTT,Medium," $2,234.00 ", $250.00 , $12.00 ," $26,808.00 "," $2,412.72 "," $24,395.28 ",6702,17693.28,9/1/2013,9,September,2013
Midmarket,France,VTT,Medium," $1,227.00 ", $250.00 , $15.00 ," $18,405.00 "," $1,656.45 "," $16,748.55 ",12270,4478.55,10/1/2014,10,October,2014
Enterprise,Mexico,VTT,Medium, $877.00 , $250.00 , $125.00 ," $109,625.00 "," $9,866.25 "," $99,758.75 ",105240,-5481.25,11/1/2014,11,November,2014
Government,United States of America,Amarilla,Medium," $2,071.00 ", $260.00 , $350.00 ," $724,850.00 "," $65,236.50 "," $659,613.50 ",538460,121153.5,9/1/2014,9,September,2014
Government,Canada,Amarilla,Medium," $1,269.00 ", $260.00 , $350.00 ," $444,150.00 "," $39,973.50 "," $404,176.50 ",329940,74236.5,10/1/2014,10,October,2014
Midmarket,Germany,Amarilla,Medium, $970.00 , $260.00 , $15.00 ," $14,550.00 "," $1,309.50 "," $13,240.50 ",9700,3540.5,11/1/2013,11,November,2013
Government,Mexico,Amarilla,Medium," $1,694.00 ", $260.00 , $20.00 ," $33,880.00 "," $3,049.20 "," $30,830.80 ",16940,13890.8,11/1/2014,11,November,2014
Government,Germany,Carretera,Medium, $663.00 , $3.00 , $20.00 ," $13,260.00 "," $1,193.40 "," $12,066.60 ",6630,5436.6,5/1/2014,5,May,2014
Government,Canada,Carretera,Medium, $819.00 , $3.00 , $7.00 ," $5,733.00 ", $515.97 ," $5,217.03 ",4095,1122.03,7/1/2014,7,July,2014
Channel Partners,Germany,Carretera,Medium," $1,580.00 ", $3.00 , $12.00 ," $18,960.00 "," $1,706.40 "," $17,253.60 ",4740,12513.6,9/1/2014,9,September,2014
Government,Mexico,Carretera,Medium, $521.00 , $3.00 , $7.00 ," $3,647.00 ", $328.23 ," $3,318.77 ",2605,713.77,12/1/2014,12,December,2014
Government,United States of America,Paseo,Medium, $973.00 , $10.00 , $20.00 ," $19,460.00 "," $1,751.40 "," $17,708.60 ",9730,7978.6,3/1/2014,3,March,2014
Government,Mexico,Paseo,Medium," $1,038.00 ", $10.00 , $20.00 ," $20,760.00 "," $1,868.40 "," $18,891.60 ",10380,8511.6,6/1/2014,6,June,2014
Government,Germany,Paseo,Medium, $360.00 , $10.00 , $7.00 ," $2,520.00 ", $226.80 ," $2,293.20 ",1800,493.2,10/1/2014,10,October,2014
Channel Partners,France,Velo,Medium," $1,967.00 ", $120.00 , $12.00 ," $23,604.00 "," $2,124.36 "," $21,479.64 ",5901,15578.64,3/1/2014,3,March,2014
Midmarket,Mexico,Velo,Medium," $2,628.00 ", $120.00 , $15.00 ," $39,420.00 "," $3,547.80 "," $35,872.20 ",26280,9592.2,4/1/2014,4,April,2014
Government,Germany,VTT,Medium, $360.00 , $250.00 , $7.00 ," $2,520.00 ", $226.80 ," $2,293.20 ",1800,493.2,10/1/2014,10,October,2014
Government,France,VTT,Medium," $2,682.00 ", $250.00 , $20.00 ," $53,640.00 "," $4,827.60 "," $48,812.40 ",26820,21992.4,11/1/2013,11,November,2013
Government,Mexico,VTT,Medium, $521.00 , $250.00 , $7.00 ," $3,647.00 ", $328.23 ," $3,318.77 ",2605,713.77,12/1/2014,12,December,2014
Government,Mexico,Amarilla,Medium," $1,038.00 ", $260.00 , $20.00 ," $20,760.00 "," $1,868.40 "," $18,891.60 ",10380,8511.6,6/1/2014,6,June,2014
Midmarket,Canada,Amarilla,Medium," $1,630.50 ", $260.00 , $15.00 ," $24,457.50 "," $2,201.18 "," $22,256.32 ",16305,5951.325,7/1/2014,7,July,2014
Channel Partners,France,Amarilla,Medium, $306.00 , $260.00 , $12.00 ," $3,672.00 ", $330.48 ," $3,341.52 ",918,2423.52,12/1/2013,12,December,2013
Channel Partners,United States of America,Carretera,High, $386.00 , $3.00 , $12.00 ," $4,632.00 ", $463.20 ," $4,168.80 ",1158,3010.8,10/1/2013,10,October,2013
Government,United States of America,Montana,High," $2,328.00 ", $5.00 , $7.00 ," $16,296.00 "," $1,629.60 "," $14,666.40 ",11640,3026.4,9/1/2014,9,September,2014
Channel Partners,United States of America,Paseo,High, $386.00 , $10.00 , $12.00 ," $4,632.00 ", $463.20 ," $4,168.80 ",1158,3010.8,10/1/2013,10,October,2013
Enterprise,United States of America,Carretera,High," $3,445.50 ", $3.00 , $125.00 ," $430,687.50 "," $43,068.75 "," $387,618.75 ",413460,-25841.25,4/1/2014,4,April,2014
Enterprise,France,Carretera,High," $1,482.00 ", $3.00 , $125.00 ," $185,250.00 "," $18,525.00 "," $166,725.00 ",177840,-11115,12/1/2013,12,December,2013
Government,United States of America,Montana,High," $2,313.00 ", $5.00 , $350.00 ," $809,550.00 "," $80,955.00 "," $728,595.00 ",601380,127215,5/1/2014,5,May,2014
Enterprise,United States of America,Montana,High," $1,804.00 ", $5.00 , $125.00 ," $225,500.00 "," $22,550.00 "," $202,950.00 ",216480,-13530,11/1/2013,11,November,2013
Midmarket,France,Montana,High," $2,072.00 ", $5.00 , $15.00 ," $31,080.00 "," $3,108.00 "," $27,972.00 ",20720,7252,12/1/2014,12,December,2014
Government,France,Paseo,High," $1,954.00 ", $10.00 , $20.00 ," $39,080.00 "," $3,908.00 "," $35,172.00 ",19540,15632,3/1/2014,3,March,2014
Small Business,Mexico,Paseo,High, $591.00 , $10.00 , $300.00 ," $177,300.00 "," $17,730.00 "," $159,570.00 ",147750,11820,5/1/2014,5,May,2014
Midmarket,France,Paseo,High," $2,167.00 ", $10.00 , $15.00 ," $32,505.00 "," $3,250.50 "," $29,254.50 ",21670,7584.5,10/1/2013,10,October,2013
Government,Germany,Paseo,High, $241.00 , $10.00 , $20.00 ," $4,820.00 ", $482.00 ," $4,338.00 ",2410,1928,10/1/2014,10,October,2014
Midmarket,Germany,Velo,High, $681.00 , $120.00 , $15.00 ," $10,215.00 "," $1,021.50 "," $9,193.50 ",6810,2383.5,1/1/2014,1,January,2014
Midmarket,Germany,Velo,High, $510.00 , $120.00 , $15.00 ," $7,650.00 ", $765.00 ," $6,885.00 ",5100,1785,4/1/2014,4,April,2014
Midmarket,United States of America,Velo,High, $790.00 , $120.00 , $15.00 ," $11,850.00 "," $1,185.00 "," $10,665.00 ",7900,2765,5/1/2014,5,May,2014
Government,France,Velo,High, $639.00 , $120.00 , $350.00 ," $223,650.00 "," $22,365.00 "," $201,285.00 ",166140,35145,7/1/2014,7,July,2014
Enterprise,United States of America,Velo,High," $1,596.00 ", $120.00 , $125.00 ," $199,500.00 "," $19,950.00 "," $179,550.00 ",191520,-11970,9/1/2014,9,September,2014
Small Business,United States of America,Velo,High," $2,294.00 ", $120.00 , $300.00 ," $688,200.00 "," $68,820.00 "," $619,380.00 ",573500,45880,10/1/2013,10,October,2013
Government,Germany,Velo,High, $241.00 , $120.00 , $20.00 ," $4,820.00 ", $482.00 ," $4,338.00 ",2410,1928,10/1/2014,10,October,2014
Government,Germany,Velo,High," $2,665.00 ", $120.00 , $7.00 ," $18,655.00 "," $1,865.50 "," $16,789.50 ",13325,3464.5,11/1/2014,11,November,2014
Enterprise,Canada,Velo,High," $1,916.00 ", $120.00 , $125.00 ," $239,500.00 "," $23,950.00 "," $215,550.00 ",229920,-14370,12/1/2013,12,December,2013
Small Business,France,Velo,High, $853.00 , $120.00 , $300.00 ," $255,900.00 "," $25,590.00 "," $230,310.00 ",213250,17060,12/1/2014,12,December,2014
Enterprise,Mexico,VTT,High, $341.00 , $250.00 , $125.00 ," $42,625.00 "," $4,262.50 "," $38,362.50 ",40920,-2557.5,5/1/2014,5,May,2014
Midmarket,Mexico,VTT,High, $641.00 , $250.00 , $15.00 ," $9,615.00 ", $961.50 ," $8,653.50 ",6410,2243.5,7/1/2014,7,July,2014
Government,United States of America,VTT,High," $2,807.00 ", $250.00 , $350.00 ," $982,450.00 "," $98,245.00 "," $884,205.00 ",729820,154385,8/1/2014,8,August,2014
Small Business,Mexico,VTT,High, $432.00 , $250.00 , $300.00 ," $129,600.00 "," $12,960.00 "," $116,640.00 ",108000,8640,9/1/2014,9,September,2014
Small Business,United States of America,VTT,High," $2,294.00 ", $250.00 , $300.00 ," $688,200.00 "," $68,820.00 "," $619,380.00 ",573500,45880,10/1/2013,10,October,2013
Midmarket,France,VTT,High," $2,167.00 ", $250.00 , $15.00 ," $32,505.00 "," $3,250.50 "," $29,254.50 ",21670,7584.5,10/1/2013,10,October,2013
Enterprise,Canada,VTT,High," $2,529.00 ", $250.00 , $125.00 ," $316,125.00 "," $31,612.50 "," $284,512.50 ",303480,-18967.5,11/1/2014,11,November,2014
